ID;Price;Area;Rooms;Flrs;Baths;Land;YearB;Age;Auto;Public;Inc;PM2_5;Edu;Condtn;Subbrbs
167;897;195;6;2;4;475;1997;23;50;71;3736,09;19;60,98378847;1;Raszyn
168;2175;245;5;1;3;2500;2010;10;55;67;3736,09;19;60,98378847;4;Raszyn
169;1440;279,05;6;1;3;1280;2001;19;50;63;3736,09;19;60,98378847;3;Raszyn
170;649;120;4;1;2;329;2020;0;55;66;3736,09;19;60,98378847;3;Raszyn
171;1190;219;5;0;2;2454;1991;29;75;61;2682,02;18,5;62,08175355;2;Jabłonna
172;622;162,2;6;1;3;1071;1993;27;80;39;2682,02;18,5;62,08175355;1;Jabłonna
173;686;136;4;1;2;907;2010;10;80;60;2682,02;18,5;62,08175355;3;Jabłonna
174;1785;160;4;2;3;1485;2008;12;80;45;2682,02;18,5;62,08175355;4;Jabłonna
175;1100;187,4;6;1;2;1000;2002;18;60;67;2682,02;18,5;62,08175355;3;Jabłonna
176;1140;450;10;1;3;1614;1999;21;75;91;2682,02;18,5;62,08175355;1;Jabłonna
177;1550;130;3;1;2;1148;2018;2;60;76;2682,02;18,5;62,08175355;3;Jabłonna
178;1800;250;4;0;3;2047;2020;0;75;98;2682,02;18,5;62,08175355;3;Jabłonna
179;780;200;7;2;2;354;2005;15;75;83;2682,02;18,5;62,08175355;3;Jabłonna
180;799;219,8;5;2;2;291;2021;-1;55;50;4415,81;18,1;66,41795894;2;Stare Babice
181;1950;261,2;6;2;3;939;2013;7;60;70;4415,81;18,1;66,41795894;4;Stare Babice
182;2150;248;5;1;3;900;2008;12;52;50;4415,81;18,1;66,41795894;4;Stare Babice
183;1850;194;5;2;3;540;2006;14;60;61;4415,81;18,1;66,41795894;4;Stare Babice
184;1350;270;6;2;3;1600;2005;15;55;50;4415,81;18,1;66,41795894;3;Stare Babice
185;1650;349;7;2;2;1000;2011;9;65;74;4415,81;18,1;66,41795894;3;Stare Babice
186;779;162;5;1;1;865;2004;16;80;67;3035,76;17,2;56,46694352;1;Wieliszew
